transect	resp	date	coef	mode	d.chenal	d.mer	alt	surf	p.roc	p.moul	p.huit	p.bala	p.alg	p.encr	p.eau	s.flaq	d.flaq	Bitret	Gibcin	Gibsp.	Gibtum	Litlit	Litobt	Litrud	Litsax	Monlin	Nasinc	Naspyg	Nasret	Oceeri	Patsp.	Rispar	Thalap
a70	capucine.hemonnet-dal	21-sept.-17	99	a	70	50	1.6	0.25	100	1	60	80	1	0	1	NA	NA	0	0	47	0	19	0	0	0	2	0	0	0	0	6	0	0
a70	capucine.hemonnet-dal	21-sept.-17	99	a	70	50	1.6	0.25	100	1	60	75	1	0	1	NA	NA	0	0	5	0	5	0	0	0	1	0	0	0	0	10	0	0
a70	capucine.hemonnet-dal	21-sept.-17	99	a	70	50	1.6	0.25	100	1	90	90	30	10	1	NA	NA	0	0	41	0	12	0	0	0	6	0	0	0	0	10	0	7
a70	capucine.hemonnet-dal	21-sept.-17	99	a	70	45	1.6	0.29	100	0	95	90	0	0	0	NA	NA	0	0	15	0	4	0	0	0	4	0	0	0	0	8	0	0
a70	capucine.hemonnet-dal	21-sept.-17	99	a	70	45	1.6	0.29	100	0	90	40	10	0	0	NA	NA	0	0	15	0	0	0	0	0	0	0	0	0	0	12	0	3
a70	capucine.hemonnet-dal	21-sept.-17	99	a	70	45	1.6	0.29	100	0	100	50	1	0	0	NA	NA	0	0	16	0	0	0	0	0	1	0	0	0	0	15	0	0
a70	capucine.hemonnet-dal	21-sept.-17	99	a	70	40	1.5	0.2	100	0	80	80	25	0	5	NA	NA	0	0	37	0	2	0	0	0	7	0	0	0	0	13	0	0
a70	capucine.hemonnet-dal	21-sept.-17	99	a	70	40	1.5	0.29	100	0	40	40	25	0	0	NA	NA	0	0	17	0	1	0	0	0	1	0	0	0	0	15	0	3
a70	capucine.hemonnet-dal	21-sept.-17	99	a	70	40	1.5	0.29	100	0	95	90	0	0	0	NA	NA	0	0	11	0	0	0	0	0	11	0	0	0	0	10	0	0
a70	capucine.hemonnet-dal	21-sept.-17	99	a	70	35	1.4	0.29	100	0	75	15	50	0	0	NA	NA	0	0	14	0	0	0	0	0	0	0	0	0	0	5	0	3
