transect	resp	date	coef	mode	d.chenal	d.mer	alt	surf	p.roc	p.moul	p.huit	p.bala	p.alg	p.encr	p.eau	s.flaq	d.flaq	Bitret	Gibcin	Gibsp.	Gibtum
a90	sasha.donnier	21-sept-17	99	a	90	72	2.22	0.19625	100	10	15	100	0	0	2	NA	NA	0	0	0	0
a90	sasha.donnier	21-sept-17	99	a	90	72	2.22	0.19625	100	10	15	100	0	0	2	NA	NA	0	0	0	0
a90	sasha.donnier	21-sept-17	99	a	90	72	2.22	0.19625	100	10	15	100	0	0	2	NA	NA	0	0	0	0
a90	sasha.donnier	21-sept-17	99	a	90	72	2.22	0.19625	100	10	15	100	0	0	2	NA	NA	0	0	0	0
a90	sasha.donnier	21-sept-17	99	a	90	72	2.22	0.19625	100	10	15	100	0	0	2	NA	NA	0	0	0	0
a90	sasha.donnier	21-sept-17	99	a	90	72	2.22	0.19625	100	10	15	100	0	0	2	NA	NA	0	0	0	0
a90	sasha.donnier	21-sept-17	99	a	90	72	2.22	0.19625	100	10	15	100	0	0	2	NA	NA	0	0	0	0
a90	sasha.donnier	21-sept-17	99	a	90	72	2.22	0.19625	100	10	15	100	0	0	2	NA	NA	0	0	0	0
a90	sasha.donnier	21-sept-17	99	a	90	72	2.22	0.19625	100	10	15	100	0	0	2	NA	NA	0	0	0	0
a90	sasha.donnier	21-sept-17	99	a	90	72	2.22	0.19625	100	0	3	100	80	0	1	NA	NA	0	0	0	0
a90	sasha.donnier	21-sept-17	99	a	90	72	2.22	0.19625	90	0	30	30	30	0	40	NA	NA	0	0	0	0
a90	sasha.donnier	21-sept-17	99	a	90	72	2.22	0.19625	90	0	30	30	30	0	40	NA	NA	0	0	0	0
a90	sasha.donnier	21-sept-17	99	a	90	72	2.22	0.19625	90	0	30	30	30	0	40	NA	NA	0	0	0	0
a90	sasha.donnier	21-sept-17	99	a	90	72	2.22	0.19625	90	0	30	30	30	0	40	NA	NA	0	0	0	0
a90	sasha.donnier	21-sept-17	99	a	90	72	2.22	0.19625	90	0	30	30	30	0	40	NA	NA	0	0	0	0
a90	sasha.donnier	21-sept-17	99	a	90	72	2.22	0.19625	90	0	30	30	30	0	40	NA	NA	0	0	0	0
a90	sasha.donnier	21-sept-17	99	a	90	72	2.22	0.19625	90	0	30	30	30	0	40	NA	NA	0	0	0	0
a90	sasha.donnier	21-sept-17	99	a	90	72	2.22	0.19625	90	0	30	30	30	0	40	NA	NA	0	0	0	0
a90	sasha.donnier	21-sept-17	99	a	90	67	2.12	0.19625	10	2	2	20	0	0	2	NA	NA	0	3	2	0
a90	sasha.donnier	21-sept-17	99	a	90	67	2.12	0.19625	10	2	2	20	0	0	2	NA	NA	0	3	2	0
a90	sasha.donnier	21-sept-17	99	a	90	67	2.12	0.19625	10	2	2	20	0	0	2	NA	NA	0	3	2	0
a90	sasha.donnier	21-sept-17	99	a	90	67	2.12	0.19625	10	2	2	20	0	0	2	NA	NA	0	3	2	0
a90	sasha.donnier	21-sept-17	99	a	90	67	2.12	0.19625	10	2	2	20	0	0	2	NA	NA	0	3	2	0
a90	sasha.donnier	21-sept-17	99	a	90	67	2.12	0.19625	10	2	2	20	0	0	2	NA	NA	0	3	2	0
a90	sasha.donnier	21-sept-17	99	a	90	67	2.12	0.19625	10	2	2	20	0	0	2	NA	NA	0	3	2	0
a90	sasha.donnier	21-sept-17	99	a	90	67	2.12	0.19625	10	2	2	20	0	0	2	NA	NA	0	3	2	0
a90	sasha.donnier	21-sept-17	99	a	90	67	2.12	0.19625	10	2	2	20	0	0	2	NA	NA	0	3	2	0
a90	sasha.donnier	21-sept-17	99	a	90	67	2.12	0.19625	10	2	2	20	0	0	2	NA	NA	0	3	2	0
